200
0	147	24	28
0	147	22	24
0	117	7	9
0	109	5	10
0	63	13	17
0	187	15	18
0	97	22	25
0	80	2	6
0	176	2	6
0	189	22	24
0	57	21	26
0	13	19	20
0	135	15	20
0	148	21	26
0	166	20	24
0	194	6	7
0	76	6	8
0	17	16	20
0	122	21	25
0	108	4	5
0	21	9	12
0	160	3	5
0	30	20	24
0	180	9	13
0	137	22	27
0	100	17	20
0	128	23	28
0	75	6	10
1	41	19	21
1	123	23	26
1	51	21	23
1	44	16	18
1	13	23	27
1	63	5	7
1	71	0	2
1	86	7	9
1	149	3	7
1	194	10	14
1	178	22	24
1	197	18	19
1	147	0	1
1	3	23	24
1	110	1	6
1	118	12	16
1	33	16	19
1	83	22	27
1	35	3	4
1	36	1	3
1	180	5	9
1	29	14	17
1	157	12	17
1	106	13	14
2	184	15	19
2	198	3	7
2	140	21	25
2	177	7	12
2	136	24	26
2	3	3	8
2	22	8	9
2	119	2	4
2	81	7	10
2	67	3	4
2	141	9	10
2	66	17	21
2	140	21	26
2	14	9	10
2	44	9	12
2	184	6	9
2	89	23	25
2	129	7	8
2	112	3	8
2	179	18	21
2	3	1	6
3	53	16	18
3	159	12	16
3	139	24	27
3	79	23	27
3	111	24	26
3	156	9	11
3	53	15	20
3	127	0	3
3	79	20	21
3	41	8	9
3	30	8	13
3	122	13	15
3	30	1	2
3	128	7	10
3	83	3	6
3	10	6	7
3	58	11	16
3	197	19	23
3	107	12	17
3	109	5	6
3	186	16	17
3	182	20	22
3	50	8	10
3	182	9	12
3	79	0	3
3	32	22	25
4	176	19	21
4	150	2	7
4	53	7	10
4	137	1	6
4	39	24	27
4	145	16	21
4	153	12	17
4	77	1	4
4	132	17	21
4	135	18	19
4	87	12	14
4	9	7	10
4	33	16	19
4	165	16	19
4	16	3	7
4	8	9	14
4	127	19	20
5	162	24	26
5	154	0	2
5	124	15	18
5	28	14	16
5	155	5	7
5	117	21	24
5	181	13	17
5	173	6	10
5	119	19	21
5	117	18	20
5	156	15	17
5	51	23	24
5	17	1	2
5	67	5	9
5	50	8	13
5	17	17	21
5	138	16	20
5	169	6	9
5	156	1	5
5	63	5	6
5	169	24	25
5	133	5	10
5	127	21	25
5	157	22	24
6	189	0	3
6	92	11	16
6	83	2	4
6	7	17	19
6	87	20	21
6	150	21	24
6	182	15	16
6	138	19	21
6	80	11	12
6	183	7	10
6	145	23	27
7	116	12	13
7	190	14	16
7	162	1	4
7	56	11	15
7	45	5	6
7	100	10	12
7	139	16	17
7	166	13	16
7	26	13	17
7	148	8	10
7	5	12	15
7	95	9	12
7	179	7	9
7	91	15	16
7	71	24	26
7	124	17	19
7	169	23	27
7	59	12	17
7	34	13	14
7	8	14	16
7	116	17	20
7	77	9	12
7	192	4	5
7	22	20	25
7	23	9	10
7	32	0	3
7	148	15	19
8	105	7	10
8	7	16	17
8	103	19	21
8	98	1	6
8	49	12	14
8	25	18	22
8	51	17	20
8	185	7	10
8	23	15	17
8	35	23	26
8	7	4	6
8	90	7	9
8	158	6	7
8	106	11	14
8	178	6	8
8	173	5	6
9	79	6	11
9	197	3	6
9	173	3	7
9	104	0	2
9	60	13	15
9	25	20	24
9	43	16	20
9	161	10	12
9	104	21	24
9	43	17	22
9	157	11	16
9	186	9	11
9	148	19	24
9	103	22	27
9	33	7	8
9	45	4	5
9	6	2	3
9	15	11	14
9	106	20	25
9	15	4	7
9	88	17	18
10	53	15	19
10	65	15	16
10	184	2	5
10	89	24	29
10	5	20	21
10	177	5	8
10	91	24	25
10	64	17	18
10	78	13	17
10	192	8	12
10	96	12	17
10	42	18	23
10	12	13	14
10	184	9	12
10	120	11	12
10	159	8	11
10	138	2	5
10	43	14	19
10	141	7	11
10	149	0	1
10	194	7	8
10	135	8	10
10	89	8	12
10	103	15	17
11	121	13	15
11	2	20	22
11	137	12	14
11	198	24	28
11	179	18	21
11	108	7	9
11	28	16	20
11	69	19	23
11	75	23	28
11	90	9	13
11	22	3	8
11	23	7	12
11	185	23	28
11	174	22	24
11	140	6	11
11	170	15	17
11	113	11	12
11	42	4	5
11	189	10	11
11	117	6	11
11	16	16	18
11	184	23	27
11	52	13	16
11	106	8	11
11	177	9	11
11	146	8	13
11	37	16	17
11	133	21	23
12	114	22	24
12	161	2	6
12	124	16	19
